year,source,requested_url,final_url,status_code,available,availability_note
2017,draftcountdown,https://www.draftcountdown.com/2017-nfl-draft/visits/top-30-visit-tracker/,https://www.draftcountdown.com/2022-nfl-draft/visits/top-30-visit-tracker/,200.0,False,redirected_to_2022_page
2017,nfltraderumors,,,,False,no_known_url_for_year
2017,walterfootball,https://walterfootball.com/ProspectMeetingsByTeam2017.php,https://walterfootball.com/ProspectMeetingsByTeam2017.php,404.0,False,http_404
2018,draftcountdown,https://www.draftcountdown.com/2018-nfl-draft/visits/top-30-visit-tracker/,https://www.draftcountdown.com/2022-nfl-draft/visits/top-30-visit-tracker/,200.0,False,redirected_to_2022_page
2018,nfltraderumors,,,,False,no_known_url_for_year
2018,walterfootball,https://walterfootball.com/ProspectMeetingsByTeam2018.php,https://walterfootball.com/ProspectMeetingsByTeam2018.php,404.0,False,http_404
2019,draftcountdown,https://www.draftcountdown.com/2019-nfl-draft/visits/top-30-visit-tracker/,https://www.draftcountdown.com/2022-nfl-draft/visits/top-30-visit-tracker/,200.0,False,redirected_to_2022_page
2019,nfltraderumors,,,,False,no_known_url_for_year
2019,walterfootball,https://walterfootball.com/ProspectMeetingsByTeam2019.php,https://walterfootball.com/ProspectMeetingsByTeam2019.php,404.0,False,http_404
2020,draftcountdown,https://www.draftcountdown.com/2020-nfl-draft/visits/top-30-visit-tracker/,https://www.draftcountdown.com/2022-nfl-draft/visits/top-30-visit-tracker/,200.0,False,redirected_to_2022_page
2020,nfltraderumors,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,https://nfltraderumors.co/2020-nfl-draft-prospect-visit-tracker/,200.0,True,ok
2020,walterfootball,https://walterfootball.com/ProspectMeetingsByTeam2020.php,https://walterfootball.com/ProspectMeetingsByTeam2020.php,404.0,False,http_404
2021,draftcountdown,https://www.draftcountdown.com/2021-nfl-draft/visits/top-30-visit-tracker/,https://www.draftcountdown.com/2022-nfl-draft/visits/top-30-visit-tracker/,200.0,False,redirected_to_2022_page
2021,nfltraderumors,https://nfltraderumors.co/2021-nfl-draft-prospect-meeting-tracker/,https://nfltraderumors.co/2021-nfl-draft-prospect-meeting-tracker/,200.0,True,ok
2021,walterfootball,https://walterfootball.com/ProspectMeetingsByTeam2021.php,https://walterfootball.com/ProspectMeetingsByTeam2021.php,404.0,False,http_404
2022,draftcountdown,https://www.draftcountdown.com/2022-nfl-draft/visits/top-30-visit-tracker/,https://www.draftcountdown.com/2022-nfl-draft/visits/top-30-visit-tracker/,200.0,True,ok
2022,nfltraderumors,https://nfltraderumors.co/2022-nfl-draft-visits-tracker/,https://nfltraderumors.co/2022-nfl-draft-visits-tracker/,200.0,True,ok
2022,walterfootball,https://walterfootball.com/ProspectMeetingsByTeam2022.php,https://walterfootball.com/ProspectMeetingsByTeam2022.php,404.0,False,http_404
2023,draftcountdown,https://www.draftcountdown.com/2023-nfl-draft/visits/top-30-visit-tracker/,https://www.draftcountdown.com/2022-nfl-draft/visits/top-30-visit-tracker/,200.0,False,redirected_to_2022_page
2023,nfltraderumors,https://nfltraderumors.co/2023-nfl-draft-visit-tracker/,https://nfltraderumors.co/2023-nfl-draft-visit-tracker/,200.0,True,ok
2023,walterfootball,https://walterfootball.com/ProspectMeetingsByTeam2023.php,https://walterfootball.com/ProspectMeetingsByTeam2023.php,404.0,False,http_404
2024,draftcountdown,https://www.draftcountdown.com/2024-nfl-draft/visits/top-30-visit-tracker/,https://www.draftcountdown.com/2022-nfl-draft/visits/top-30-visit-tracker/,200.0,False,redirected_to_2022_page
2024,nfltraderumors,https://nfltraderumors.co/2024-nfl-draft-prospect-visit-tracker/,https://nfltraderumors.co/2024-nfl-draft-prospect-visit-tracker/,200.0,True,ok
2024,walterfootball,https://walterfootball.com/ProspectMeetingsByTeam2024.php,https://walterfootball.com/ProspectMeetingsByTeam2024.php,200.0,True,ok
2025,draftcountdown,https://www.draftcountdown.com/2025-nfl-draft/visits/top-30-visit-tracker/,https://www.draftcountdown.com/2022-nfl-draft/visits/top-30-visit-tracker/,200.0,False,redirected_to_2022_page
2025,nfltraderumors,https://nfltraderumors.co/2025-nfl-draft-visit-tracker/,https://nfltraderumors.co/2025-nfl-draft-visit-tracker/,200.0,True,ok
2025,walterfootball,https://walterfootball.com/ProspectMeetingsByTeam2025.php,https://walterfootball.com/ProspectMeetingsByTeam2025.php,200.0,True,ok
2026,draftcountdown,https://www.draftcountdown.com/2026-nfl-draft/visits/top-30-visit-tracker/,,,False,"request_error: HTTPSConnectionPool(host='www.draftcountdown.com', port=443): Read timed out. (read timeout=45)"
2026,nfltraderumors,https://nfltraderumors.co/2026-nfl-draft-visit-tracker/,https://nfltraderumors.co/2026-nfl-draft-visit-tracker/,200.0,True,ok
2026,walterfootball,https://walterfootball.com/ProspectMeetingsByTeam2026.php,https://walterfootball.com/ProspectMeetingsByTeam2026.php,200.0,True,ok
